"","Age","SES1","SES2","threshold","minincome","maxincome","adj_inc","INR"
"714",61,3,"$200,000-$249,999",18774,2e+05,250000,225000,11.9846596356663
"715",60,2,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"716",50,2,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"717",62,6,"$200,000-$249,999",12486,2e+05,250000,225000,18.0201826045171
"718",60,3,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"719",29,6,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"720",40,4,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"721",61,3,"$170,000-$179,999",16072,170000,180000,175000,10.8885017421603
"722",36,3,"$160,000-$169,999",12486,160000,170000,165000,13.2148005766458
"723",34,1,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"724",48,2,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
"725",29,2,"$50,000 - $59,999",16072,50000,60000,55000,3.42210054753609
"726",69,2,"$70,000 - $79,999",44188,70000,80000,75000,1.69729338281886
"727",47,2,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"728",46,5,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"729",29,2,"$130,000-$139,999",16072,130000,140000,135000,8.39970134395221
"730",61,2,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"731",39,4,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"732",68,1,"$80,000 - $89,999",24755,80000,90000,85000,3.43364976772369
"733",51,4,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"734",20,3,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"735",33,1,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"736",47,5,"$100,000 - $109,999",24755,1e+05,110000,105000,4.24156736012927
"737",33,5,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"738",52,2,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"739",55,5,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"740",39,4,"$140,000-$149,999",16072,140000,150000,145000,9.02190144350423
"741",57,3,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"742",51,4,"$70,000 - $79,999",12486,70000,80000,75000,6.00672753483902
"743",63,2,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"744",47,4,"$150,000-$159,999",29854,150000,160000,155000,5.19193407918537
"745",37,2,"$120,000-$129,999",16072,120000,130000,125000,7.7775012444002
"746",69,4,"$90,000 - $99,999",29854,90000,1e+05,95000,3.18215314530716
"747",30,3,"$80,000 - $89,999",16072,80000,90000,85000,5.28870084619214
"748",71,2,"$120,000-$129,999",12486,120000,130000,125000,10.011212558065
"749",22,2,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"750",56,2,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"751",68,1,"$450,000-$499,999",18774,450000,5e+05,475000,25.3009481197401
"752",29,1,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"753",37,7,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"754",27,3,"$70,000 - $79,999",24755,70000,80000,75000,3.02969097152091
"755",32,4,"$140,000-$149,999",16072,140000,150000,145000,9.02190144350423
"756",35,1,"$90,000 - $99,999",18774,90000,1e+05,95000,5.06018962394801
"757",29,2,"$90,000 - $99,999",16072,90000,1e+05,95000,5.91090094574415
"758",30,5,"$100,000 - $109,999",16072,1e+05,110000,105000,6.53310104529617
"759",43,6,"$150,000-$159,999",29854,150000,160000,155000,5.19193407918537
"760",30,4,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"761",43,2,"$150,000-$159,999",12486,150000,160000,155000,12.4139035720006
"762",31,2,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"763",24,2,"$80,000 - $89,999",18774,80000,90000,85000,4.52753808458506
"764",25,7,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"765",47,5,"$90,000 - $99,999",12486,90000,1e+05,95000,7.60852154412942
"766",75,3,"$90,000 - $99,999",24755,90000,1e+05,95000,3.83760856392648
"767",28,4,"$120,000-$129,999",24755,120000,130000,125000,5.04948495253484
"768",41,10,"$130,000-$139,999",24755,130000,140000,135000,5.45344374873763
"769",39,4,"$140,000-$149,999",12486,140000,150000,145000,11.6130065673554
"770",59,1,"$120,000-$129,999",18774,120000,130000,125000,6.65814424203686
"771",35,4,"$70,000 - $79,999",18774,70000,80000,75000,3.99488654522212
"772",58,3,"$100,000 - $109,999",12486,1e+05,110000,105000,8.40941854877463
"773",48,4,"$140,000-$149,999",16072,140000,150000,145000,9.02190144350423
"774",71,2,"$190,000-$199,999",34337,190000,2e+05,195000,5.67900515478929
"775",37,6,"$110,000-$119,999",18774,110000,120000,115000,6.12549270267391
"776",37,1,"$70,000 - $79,999",16072,70000,80000,75000,4.66650074664012
"777",48,3,"$150,000-$159,999",24755,150000,160000,155000,6.2613613411432
"778",28,3,"$80,000 - $89,999",24755,80000,90000,85000,3.43364976772369
