subID,HP1,HP2,HP3,HP4,HP5,HP6,HP7,HP8,Age,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,BIS_score,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,BFI_C_score,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,Planfulness_score,Age,SES1,SES2,threshold,minincome,maxincome,adj_inc,INR
27,2,1,1,1,2,4,4,4,43,2,2,2,3,2,2,1,2,2,3,3,2,2,1,3,1,2,1,2,2,1,2,2,1,1,2,2,3,1,2,1.9,2,2,4,2,3,5,4,4,4,4,2,1,4,2,4,3,4,4,2,3,5,4,3,5,4,2,3,3,2,2,5,4,4,4,3,1,3,4,2,4,4,4,3,1,3.227272727,4,4,3,3,4,2,4,4,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,4,3.7,43,6,"$180,000-$189,999",34337,180000,190000,185000,5.387774121
28,2,2,3,1,2,5,4,5,58,2,2,2,2,2,2,4,3,3,4,1,2,4,2,4,1,1,4,1,3,1,1,2,1,1,2,3,1,3,3,2.233333333,2,2,4,2,3,5,4,3,2,4,3,2,5,4,3,3,5,3,3,3,5,4,2,2,3,1,3,4,4,4,5,4,4,2,4,1,2,4,5,4,4,4,2,2,3.272727273,3,4,2,3,4,2,3,4,3,2,2,3,4,4,3,2,4,3,4,3,4,4,3,2,3,4,4,2,3,2,3.1,58,3,"$30,000 - $39,999",18774,30000,40000,35000,1.864280388
29,2,1,2,1,1,5,5,4,47,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1.5,5,2,5,1,4,2,4,4,4,5,2,1,5,2,4,3,4,4,2,4,2,4,5,5,4,4,1,4,2,4,2,4,4,4,3,5,2,4,2,3,1,4,4,3,3.340909091,4,4,2,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,3,3.766666667,47,2,"$60,000 - $69,999",16072,60000,70000,65000,4.044300647
30,1,1,1,1,1,5,5,5,21,2,1,3,3,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,1.6,2,2,5,1,4,4,5,5,5,5,5,1,5,1,4,4,4,5,1,1,5,5,5,5,3,3,1,5,4,4,1,5,5,5,5,5,1,5,1,5,3,5,5,4,3.727272727,5,5,1,1,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,2,4,4,4,5,5,4.366666667,NA,NA,NA,NA,NA,NA,NA,NA
31,3,2,1,1,1,5,5,1,71,1,2,3,3,1,2,1,1,2,4,1,1,2,1,2,1,2,2,3,1,2,3,3,2,3,3,2,1,1,2,1.933333333,5,3,5,4,5,2,5,5,2,4,2,1,5,4,5,4,5,2,4,4,4,4,4,2,4,5,4,5,4,4,4,5,5,4,3,5,3,5,4,4,5,5,2,5,3.977272727,4,2,1,2,4,2,4,4,4,2,4,4,2,3,4,2,4,3,2,4,2,4,4,4,3,4,3,4,2,4,3.166666667,71,1,"$20,000 - $29,999",11511,20000,30000,25000,2.171835635
32,4,4,4,3,4,4,3,3,35,1,3,3,4,3,4,3,2,1,1,3,2,1,4,2,4,2,3,4,2,2,3,3,3,2,3,3,4,3,2,2.666666667,3,2,4,3,3,3,3,2,4,3,4,4,2,3,2,2,3,4,3,4,4,2,2,2,3,3,3,2,3,2,2,4,4,2,3,4,2,4,2,3,3,2,2,3,2.886363636,3,2,1,3,4,4,3,3,4,4,3,2,4,3,4,4,2,2,3,2,3,3,4,4,4,4,4,4,3,4,3.233333333,35,5,"$20,000 - $29,999",29854,20000,30000,25000,0.837408722
33,1,1,1,1,1,5,5,5,72,2,2,3,3,1,2,2,1,1,4,3,1,2,1,4,2,1,3,1,2,1,3,2,1,3,2,3,4,1,4,2.166666667,4,4,5,1,3,3,5,4,3,4,4,1,5,2,4,3,1,4,4,3,3,4,4,5,4,3,1,4,3,5,4,4,5,3,4,4,1,3,2,4,1,4,3,3,3.363636364,5,2,3,3,4,2,4,3,4,3,4,4,3,3,3,2,4,4,2,3,3,3,3,4,2,2,1,3,4,2,3.066666667,72,1,"$10,000 - $19,999",11511,10000,20000,5000,0.434367127
34,1,4,4,3,1,4,5,4,70,3,3,3,2,2,1,2,1,1,3,1,2,4,1,3,1,2,2,2,2,1,1,4,1,1,2,3,1,3,4,2.066666667,1,2,5,1,4,5,4,5,4,2,1,1,2,4,4,4,5,4,4,2,5,5,2,5,2,4,4,2,1,4,5,4,4,5,5,1,1,4,3,4,4,4,5,2,3.386363636,4,4,2,4,3,2,3,4,4,2,2,2,2,2,2,4,4,2,2,4,4,3,4,3,1,4,4,4,2,2,2.966666667,70,3,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
35,2,2,3,3,2,5,4,4,63,2,2,2,3,2,1,1,2,2,4,1,1,4,3,2,1,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1.766666667,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,2,4,3,4,4,4,4,2,4,4,2,2,4,3,4,4,4,4,4,4,3,2,3,2,3,2,4,4,2,3.431818182,4,3,2,4,4,4,4,4,4,4,4,5,3,4,4,2,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3.766666667,63,3,"$20,000 - $29,999",18774,20000,30000,25000,1.331628848
36,3,1,1,1,2,5,4,2,29,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1.366666667,3,4,5,4,4,3,4,5,4,5,2,1,5,3,3,4,3,2,5,4,3,2,4,3,4,4,3,4,4,5,3,4,5,4,3,4,3,5,3,4,5,4,3,5,3.727272727,5,5,4,4,5,4,4,5,5,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,4,4,4,3,4,5,4.466666667,29,2,"$60,000 - $69,999",16072,60000,70000,65000,4.044300647
